country,rate
Andorra,1.00 
Finland,1.00 
Holy See,1.00 
Liechtenstein,1.00 
Luxembourg,1.00 
Norway,1.00 
Democratic People's Republic of Korea,1.00 
Latvia,1.00 
Estonia,1.00 
Lithuania,1.00 
Azerbaijan,1.00 
Poland,1.00 
Cuba,1.00 
Tajikistan,1.00 
Georgia,1.00 
Armenia,1.00 
Ukraine,1.00 
Kazakhstan,1.00 
Slovenia,1.00 
Barbados,1.00 
Russian Federation,1.00 
Turkmenistan,1.00 
Belarus,1.00 
Slovakia,1.00 
Palau,1.00 
Uzbekistan,1.00 
Tonga,0.99 
Kyrgyzstan,0.99 
Republic of Moldova,0.99 
Croatia,0.99 
Italy,0.99 
Hungary,0.99 
Australia,0.99 
Belgium,0.99 
Canada,0.99 
Czech Republic,0.99 
Denmark,0.99 
France,0.99 
Germany,0.99 
Iceland,0.99 
Ireland,0.99 
Japan,0.99 
Monaco,0.99 
Netherlands,0.99 
New Zealand,0.99 
Sweden,0.99 
Switzerland,0.99 
Tuvalu,0.99 
United Kingdom,0.99 
Samoa,0.99 
Antigua and Barbuda,0.99 
Trinidad and Tobago,0.99 
Micronesia (Federated States of),0.99 
Cyprus,0.99 
Romania,0.99 
Montenegro,0.98 
Maldives,0.98 
Bulgaria,0.98 
Marshall Islands,0.98 
Bosnia and Herzegovina,0.98 
Mongolia,0.98 
Uruguay,0.98 
Austria,0.98 
Argentina,0.98 
Serbia,0.98 
Republic of Korea,0.98 
Grenada,0.98 
Israel,0.98 
Spain,0.98 
The former Yugoslav Republic of Macedonia,0.98 
Greece,0.97 
Costa Rica,0.97 
Saint Kitts and Nevis,0.97 
Albania,0.97 
Chile,0.97 
Thailand,0.96 
Qatar,0.96 
Brunei Darussalam,0.96 
Saint Vincent and the Grenadines,0.96 
San Marino,0.96 
Singapore,0.96 
Kuwait,0.96 
Bahamas,0.96 
Philippines,0.95 
Nauru,0.95 
China,0.95 
Cook Islands,0.95 
State of Palestine,0.95 
Equatorial Guinea,0.95 
Venezuela (Bolivarian Republic of),0.95 
Suriname,0.95 
Bahrain,0.95 
Portugal,0.94 
Saudi Arabia,0.94 
Panama,0.94 
Seychelles,0.94 
Paraguay,0.94 
Peru,0.94 
Fiji,0.94 
Viet Nam,0.94 
Colombia,0.93 
Malta,0.93 
Malaysia,0.93 
Mexico,0.93 
South Africa,0.93 
Indonesia,0.93 
Myanmar,0.93 
Turkey,0.93 
Jordan,0.93 
Bolivia (Plurinational State of),0.92 
Ecuador,0.92 
Dominica,0.92 
Sri Lanka,0.91 
Brazil,0.90 
Libya,0.90 
United Arab Emirates,0.90 
Lebanon,0.90 
Dominican Republic,0.90 
Saint Lucia,0.90 
Mauritius,0.89 
Jamaica,0.88 
Botswana,0.87 
Burundi,0.87 
Oman,0.87 
United States,0.86 
Syrian Arab Republic,0.86 
Cabo Verde,0.85 
Guyana,0.85 
Honduras,0.85 
El Salvador,0.84 
Vanuatu,0.84 
Iran (Islamic Republic of),0.84 
Zimbabwe,0.84 
Swaziland,0.83 
Belize,0.83 
Gabon,0.82 
Congo,0.79 
Iraq,0.79 
Tunisia,0.79 
Guatemala,0.78 
Nicaragua,0.78 
Solomon Islands,0.77 
Comoros,0.77 
Namibia,0.76 
Lesotho,0.76 
Democratic Republic of the Congo,0.75 
Sudan,0.74 
Cambodia,0.74 
Uganda,0.73 
Lao People's Democratic Republic,0.73 
Algeria,0.73 
Kenya,0.72 
Egypt,0.72 
Eritrea,0.72 
Ghana,0.71 
Cameroon,0.71 
Angola,0.71 
Sao Tome and Principe,0.70 
India,0.69 
United Republic of Tanzania,0.68 
Yemen,0.68 
Morocco,0.67 
Rwanda,0.66 
Madagascar,0.64 
Papua New Guinea,0.63 
Zambia,0.61 
Malawi,0.61 
Togo,0.60 
Bangladesh,0.60 
Nepal,0.60 
Timor-Leste,0.58 
Guinea-Bissau,0.58 
Pakistan,0.55 
Gambia,0.53 
Bhutan,0.53 
Senegal,0.52 
Nigeria,0.51 
Mozambique,0.51 
Haiti,0.49 
Sierra Leone,0.46 
Mauritania,0.46 
Liberia,0.43 
Somalia,0.39 
Ethiopia,0.39 
Chad,0.38 
Central African Republic,0.37 
Afghanistan,0.32 
Mali,0.31 
Burkina Faso,0.29 
Benin,0.29 
South Sudan,0.27 
Guinea,0.25 
Niger,0.15 
